year,GEOID,STATEFP,NAME,mean_no2
2005,01001,01,Autauga,3.877146843414572
2005,01003,01,Baldwin,3.699803698100555
2005,01005,01,Barbour,3.6470634543621117
2005,01007,01,Bibb,4.319902477325646
2005,01009,01,Blount,5.639663364723965
2005,01011,01,Bullock,3.6340879031283486
2005,01013,01,Butler,3.136990968374848
2005,01015,01,Calhoun,6.307184476505705
2005,01017,01,Chambers,4.416603497798077
2005,01019,01,Cherokee,6.257530679455837
2005,01021,01,Chilton,5.3428447148964455
2005,01023,01,Choctaw,2.2311811083177884
2005,01025,01,Clarke,2.4038517685902066
2005,01027,01,Clay,4.3066535779031
2005,01029,01,Cleburne,4.72854234300924
2005,01031,01,Coffee,4.113133934820174
2005,01033,01,Colbert,5.702682425660085
2005,01035,01,Conecuh,2.708482005826661
2005,01037,01,Coosa,3.6611339256947013
2005,01039,01,Covington,3.042172805333815
2005,01041,01,Crenshaw,3.031607890222522
2005,01043,01,Cullman,5.207747988416636
2005,01045,01,Dale,3.9793237351940123
2005,01047,01,Dallas,3.719602031185481
2005,01049,01,DeKalb,6.876952566282135
2005,01051,01,Elmore,5.126663378375313
2005,01053,01,Escambia,3.1769080237408467
2005,01055,01,Etowah,6.768428037066747
2005,01057,01,Fayette,3.8016327190567814
2005,01059,01,Franklin,4.394483277279575
2005,01061,01,Geneva,4.443232230296949
2005,01063,01,Greene,3.1594800770744
2005,01065,01,Hale,3.9185828693999585
2005,01067,01,Henry,4.011847065940803
2005,01069,01,Houston,5.195241588138742
2005,01071,01,Jackson,4.940506722521806
2005,01073,01,Jefferson,9.437837745169253
2005,01075,01,Lamar,3.2723690546849866
2005,01077,01,Lauderdale,6.652206783032005
2005,01079,01,Lawrence,4.998933957079223
2005,01081,01,Lee,5.163957328188121
2005,01083,01,Limestone,7.4003960991132285
2005,01085,01,Lowndes,3.3810254633076187
2005,01087,01,Macon,3.875880897480603
2005,01089,01,Madison,7.940400593078225
2005,01091,01,Marengo,3.5092549105072792
2005,01093,01,Marion,4.330782937051277
2005,01095,01,Marshall,6.495730231196116
2005,01097,01,Mobile,3.8600554442449218
2005,01099,01,Monroe,2.9603788678092187
2005,01101,01,Montgomery,5.786347617418226
2005,01103,01,Morgan,5.865044141811451
2005,01105,01,Perry,3.614743162552238
2005,01107,01,Pickens,3.1917325135012318
2005,01109,01,Pike,3.4880345931507764
2005,01111,01,Randolph,4.926749746236778
2005,01113,01,Russell,4.801127755073778
2005,01115,01,St. Clair,6.62603293425077
2005,01117,01,Shelby,7.462680722328218
2005,01119,01,Sumter,3.2577800589425516
2005,01121,01,Talladega,5.930476383285266
2005,01123,01,Tallapoosa,4.1790388557595515
2005,01125,01,Tuscaloosa,4.596099596977035
2005,01127,01,Walker,4.878621475085509
2005,01129,01,Washington,2.280737564614571
2005,01131,01,Wilcox,3.053953444633024
2005,01133,01,Winston,3.2247995909336393
2005,04001,04,Apache,3.224884350730932
2005,04003,04,Cochise,3.3140021459048308
2005,04005,04,Coconino,2.5133320359864517
2005,04007,04,Gila,2.504573729615574
2005,04009,04,Graham,1.7741795270796954
2005,04011,04,Greenlee,2.5648073198939816
2005,04012,04,La Paz,3.093162717798962
2005,04013,04,Maricopa,7.195136262094726
2005,04015,04,Mohave,2.3620466954277646
2005,04017,04,Navajo,3.0745697590235057
2005,04019,04,Pima,3.216593516487108
2005,04021,04,Pinal,4.564274450967547
2005,04023,04,Santa Cruz,2.8519587916649387
2005,04025,04,Yavapai,2.7684827774576197
2005,04027,04,Yuma,2.3537094565423193
2005,05001,05,Arkansas,4.3773455942643995
2005,05003,05,Ashley,3.843068217429171
2005,05005,05,Baxter,4.007685781857947
2005,05007,05,Benton,5.263681955540117
2005,05009,05,Boone,4.188404579482781
2005,05011,05,Bradley,2.9402221194176907
2005,05013,05,Calhoun,3.0428379196346853
2005,05015,05,Carroll,4.3286066200785545
2005,05017,05,Chicot,5.780303835058232
2005,05019,05,Clark,3.190832489557769
2005,05021,05,Clay,6.470743371375232
2005,05023,05,Cleburne,3.7470223734838597
2005,05025,05,Cleveland,2.830887788432675
2005,05027,05,Columbia,2.892736393912472
2005,05029,05,Conway,5.130985495437951
2005,05031,05,Craighead,8.068929820204954
2005,05033,05,Crawford,3.6970191484238693
2005,05035,05,Crittenden,8.308598644115001
2005,05037,05,Cross,7.578268236975229
2005,05039,05,Dallas,3.0044299522691436
2005,05041,05,Desha,4.281943766937848
2005,05043,05,Drew,3.571128998830387
2005,05045,05,Faulkner,5.984947241744064
2005,05047,05,Franklin,3.9401569241443566
2005,05049,05,Fulton,4.265744784727195
2005,05051,05,Garland,3.351410320545817
2005,05053,05,Grant,3.47672013947521
2005,05055,05,Greene,7.061570678438459
2005,05057,05,Hempstead,3.9075514591533143
2005,05059,05,Hot Spring,3.7646916846460523
